rowlabel,"[0, 12, 15, 19]","[0, 9, 12, 16]","[0, 12, 20, 29]","[0, 4, 7, 16]","[0, 4, 12, 16]","[0, 12, 17, 19]","[0, 4, 21, 24]","[0, 3, 18, 22]","[0, 4, 11, 16]","[0, 15, 20, 27]","[0, 8, 20, 24]","[0, 3, 12, 15]","[0, 3, 14, 15]","[0, 12, 15, 27]","[0, 2, 7, 15]","[0, 3, 10, 15]","[0, 7, 12, 16]","[0, 9, 16, 21]","[0, 4, 16, 19]","[0, 9, 15, 18]","[0, 4, 9, 21]","[0, 7, 12, 17]","[0, 12, 17, 20]","[0, 7, 15, 22]","[0, 19, 24]","[0, 10, 13, 17]","[0, 4, 9, 12]","[0, 16, 28, 33]","[0, 12, 16, 24]","[0, 12, 19, 24]","[0, 15, 20, 32]","[0, 15, 19, 24]","[0, 4, 12, 21]","[0, 16, 19, 28]","[0, 7, 12, 15]","[0, 7, 15, 24]","[0, 14, 19, 22]","[0, 9, 21, 28]","[0, 8, 15, 32]","[0, 3, 19, 27]","[0, 5, 12, 17]","[0, 12, 24, 28]","[0, 7, 16, 24]","[0, 3, 15, 19]","[0, 19, 24, 29]","[0, 4, 7, 12]","[0, 16, 19, 24]","[0, 8, 20, 27]","[0, 16, 21, 24]","[0, 5, 8, 17]","[0, 3, 12, 17]","[0, 7, 15, 27]","[0, 9, 16, 24]","[0, 7, 19, 22]","[0, 12, 21, 28]","[0, 3, 15, 20]","[0, 3, 7, 12]","[0, 9, 12, 21]","[0, 9, 12, 28]","[0, 15, 24, 31]","[0, 2, 6, 14]","[0, 3, 12, 19]","[0, 3, 8, 20]","[0, 20, 27, 32]","[0, 15, 19, 27]","[0, 7, 12, 28]","[0, 5, 8]","[0, 12, 19, 27]","[0, 19, 24, 27]","[0, 4, 9, 16]","[0, 16, 21, 33]","[0, 7, 16, 19]","[0, 12, 16, 28]","[0, 8, 12, 17]","[0, 3, 7, 15]","[0, 12, 19, 28]","[0, 15, 22, 27]","[0, 7, 16, 23]","[0, 3, 12, 20]","[0, 12, 16, 19]","[0, 5, 12, 20]","[0, 20, 24, 27]","[0, 19, 24, 28]","[0, 4, 9, 17]","[0, 10, 12, 28]","[0, 7, 24, 28]","[0, 16, 21, 28]","[0, 12, 16, 21]","[0, 8, 17, 20]","[0, 8, 15, 20]","[0, 7, 19, 23]"
"[-2, 5, 10, 14]",,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[-5, 5, 10, 14]",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[-5, 2, 11, 19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[4, 8, 16, 23]",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[-2, 5, 14, 20]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[2, 5, 11, 17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[7, 14, 19, 23]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[2, 5, 11, 26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"[3, 7, 15, 22]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
"[5, 8, 17, 26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[-2, 5, 8, 14]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,
